citta,data,livello,data_estrazione,livello_n,delta_giorno_prima,delta_giorno_dopo,latitude
BOLZANO,2023-08-26,Livello3,2023-08-25,3,0,-2,46.49272
BOLZANO,2023-08-27,Livello1,2023-08-25,1,-2,-1,46.49272
BOLZANO,2023-08-28,Livello0,2023-08-28,0,-1,0,46.49272
BOLZANO,2023-08-29,Livello0,2023-08-29,0,0,0,46.49272
BOLZANO,2023-08-30,Livello0,2023-08-30,0,0,0,46.49272
BOLZANO,2023-08-31,Livello0,2023-08-31,0,0,0,46.49272
BOLZANO,2023-09-01,Livello0,2023-09-01,0,0,0,46.49272
BOLZANO,2023-09-02,Livello0,2023-09-01,0,0,0,46.49272
BOLZANO,2023-09-03,Livello0,2023-09-01,0,0,0,46.49272
BOLZANO,2023-09-04,Livello0,2023-09-04,0,0,0,46.49272
BOLZANO,2023-09-05,Livello0,2023-09-05,0,0,0,46.49272
BOLZANO,2023-09-06,Livello0,2023-09-07,0,0,0,46.49272
BOLZANO,2023-09-07,Livello0,2023-09-07,0,0,0,46.49272
BOLZANO,2023-09-08,Livello0,2023-09-08,0,0,1,46.49272
BOLZANO,2023-09-09,Livello1,2023-09-08,1,1,0,46.49272
BOLZANO,2023-09-10,Livello1,2023-09-08,1,0,0,46.49272
BOLZANO,2023-09-11,Livello1,2023-09-11,1,0,-1,46.49272
BOLZANO,2023-09-12,Livello0,2023-09-12,0,-1,0,46.49272
BOLZANO,2023-09-13,Livello0,2023-09-13,0,0,0,46.49272
BOLZANO,2023-09-14,Livello0,2023-09-14,0,0,0,46.49272
BOLZANO,2023-09-15,Livello0,2023-09-15,0,0,0,46.49272
BOLZANO,2023-09-16,Livello0,2023-09-15,0,0,0,46.49272
BOLZANO,2023-09-17,Livello0,2023-09-15,0,0,0,46.49272
BOLZANO,2023-09-18,Livello0,2023-09-18,0,0,0,46.49272
BOLZANO,2023-09-19,Livello0,2023-09-19,0,0,0,46.49272
BOLZANO,2023-09-20,Livello0,2023-09-20,0,0,0,46.49272
BOLZANO,2023-09-21,Livello0,2023-09-20,0,0,0,46.49272
BOLZANO,2023-09-22,Livello0,2023-09-20,0,0,,46.49272
BRESCIA,2023-07-07,Livello0,2023-07-08,0,0,0,45.52478
BRESCIA,2023-07-08,Livello0,2023-07-08,0,0,1,45.52478
BRESCIA,2023-07-09,Livello1,2023-07-08,1,1,1,45.52478
BRESCIA,2023-07-10,Livello2,2023-07-10,2,1,0,45.52478
BRESCIA,2023-07-11,Livello2,2023-07-11,2,0,-1,45.52478
